"","name","date_of_birth","date_of_death","official_cause_of_death","fame","age"
"1","Alexandre Levy","1864-11-10","1892-01-17","Unknown","Composer, pianist and conductor","27 years, 68 days"
"2","Louis Chauvin","1881-03-13","1908-03-26","Neurosyphilitic sclerosis","Ragtime musician","27 years, 13 days"
"3","Rupert Brooke","1887-08-03","1915-04-23","Sepsis","Poet","27 years, 13 days"
"4","Robert Johnson","1911-05-08","1938-08-16","Unknown","Blues singer and musician","27 years, 100 days"
"5","Nat Jaffe","1918-01-01","1945-08-05","Complications from high blood pressure","Swing jazz pianist","27 years, 216 days"
"6","Jesse Belvin","1932-12-15","1960-02-06","Traffic collision","R&B singer, pianist and songwriter","27 years, 53 days"
"7","Rudy Lewis","1936-08-23","1964-05-20","Drug overdose","Vocalist of the Drifters","27 years, 271 days"
"8","Joe Henderson","1937-04-24","1964-10-24","Heart attack","R&B and gospel singer","27 years, 183 days"
"9","Malcolm Hale","1941-05-17","1968-10-30","Poisoning","Original member and lead guitarist of Spanky and Our Gang","27 years, 166 days"
"10","Dickie Pride","1941-10-21","1969-03-26","Drug overdose","Rock and roll singer","27 years, 156 days"
"11","Brian Jones","1942-02-28","1969-07-03","Drowned in a swimming pool","Rolling Stones founder, guitarist and multi-instrumentalist","27 years, 125 days"
"12","Alan ""Blind Owl"" Wilson","1943-07-04","1970-09-03","Drug overdose","Leader, singer and primary composer of Canned Heat","27 years, 61 days"
"13","Jimi Hendrix","1942-11-27","1970-09-18","Asphyxiation","Pioneering electric guitarist, singer and songwriter of the Jimi Hendrix Experience and Band of Gypsys","27 years, 295 days"
"14","Janis Joplin","1943-01-19","1970-10-04","Drug overdose","Lead vocalist and songwriter of Big Brother and the Holding Company, the Kozmic Blues Band and Full Tilt Boogie Band","27 years, 258 days"
"15","Arlester ""Dyke"" Christian","1943-06-13","1971-03-13","Murdered","Frontman, vocalist and bassist of Dyke and the Blazers","27 years, 273 days"
"16","Jim Morrison","1943-12-08","1971-07-03","Heart failure","Singer, lyricist, and leader of the Doors","27 years, 207 days"
"17","Linda Jones","1944-12-14","1972-03-14","Complications from diabetes","Soul singer","27 years, 91 days"
"18","Ron ""Pigpen"" McKernan","1945-09-08","1973-03-08","Gastrointestinal hemorrhage associated with alcoholism","Founding member, keyboardist and singer of the Grateful Dead","27 years, 181 days"
"19","Roger Lee Durham","1946-02-14","1973-07-27","Fell off a horse and died from the injuries","Singer and percussionist of Bloodstone","27 years, 163 days"
"20","Wallace ""Wally"" Yohn","1947-01-12","1974-08-12","Plane crash","Organ player of Chase","27 years, 212 days"
"21","Dave Alexander","1947-06-03","1975-02-10","Pulmonary edema","Bassist of the Stooges","27 years, 252 days"
"22","Pete Ham","1947-04-27","1975-04-24","Suicide by hanging","Keyboardist and guitarist, leader of Badfinger","27 years, 362 days"
"23","Gary Thain","1948-05-15","1975-12-08","Drug overdose","Former bassist of Uriah Heep and the Keef Hartley Band","27 years, 205 days"
"24","Cecilia","1948-10-11","1976-08-02","Traffic collision","Singer","27 years, 296 days"
"25","Helmut Köllen","1950-03-02","1977-05-03","Poisoning","Bassist of 1970s prog rock band Triumvirat","27 years, 62 days"
"26","Chris Bell","1951-01-12","1978-12-27","Traffic collision","Singer-songwriter and guitarist of power pop band Big Star and solo","27 years, 349 days"
"27","Zenon De Fleur","1951-09-09","1979-03-17","Traffic collision","Guitarist of the Count Bishops","27 years, 189 days"
"28","D. Boon","1958-04-01","1985-12-22","Traffic collision","Guitarist, lead singer of punk band Minutemen","27 years, 266 days"
"29","Alexander Bashlachev","1960-05-27","1988-02-17","Fall from a height, probable suicide","Poet, rock musician and songwriter","27 years, 266 days"
"30","Amar Singh Chamkila","1960-07-21","1988-03-08","Murdered","Singer, songwriter, musician, and composer","27 years, 231 days"
"31","Jean-Michel Basquiat","1960-12-22","1988-08-12","Drug overdose","Painter and graffiti artist; formed the band Gray","27 years, 234 days"
"32","Pete de Freitas","1961-08-02","1989-06-14","Traffic collision","Drummer of Echo & the Bunnymen","27 years, 316 days"
"33","Finbarr Donnelly","1962-04-25","1989-06-18","Drowning accident","Singer of Five Go Down to the Sea?","27 years, 50 days"
"34","Chris Austin","1964-02-24","1991-03-16","Plane crash","Country singer and guitarist/fiddle player for Reba McEntire","27 years, 20 days"
"35","Dimitar Voev","1965-05-21","1992-09-05","Cancer","Poet, founder of the Bulgarian new wave band New Generation","27 years, 107 days"
"36","Mia Zapata","1965-08-25","1993-07-07","Murdered","Lead singer of the Gits","27 years, 316 days"
"37","Kurt Cobain","1967-02-20","1994-04-05","Suicide by gunshot","Founding member, lead singer, guitarist and songwriter of Nirvana","27 years, 44 days c."
"38","Kristen Pfaff","1967-05-26","1994-06-16","Drug overdose","Bass guitarist of Hole and Janitor Joe","27 years, 21 days"
"39","Richey Edwards","1967-12-22","1995-02-01","Disappeared near a common suicide site; later presumed dead","Lyricist and guitarist of Manic Street Preachers","27 years, 41 days"
"40","Stretch","1968-04-08","1995-11-30","Murdered","Rapper","27 years, 236 days"
"41","Fat Pat","1970-12-04","1998-02-03","Murdered","American rapper and member of Screwed Up Click","27 years, 61 days"
"42","Freaky Tah","1971-05-14","1999-03-28","Murdered","American rapper and member of the hip hop group Lost Boyz","27 years, 318 days"
"43","Kami","1972-02-01","1999-06-21","Subarachnoid hemorrhage","Drummer of Malice Mizer","27 years, 140 days"
"44","Rodrigo Bueno","1973-05-24","2000-06-24","Traffic collision","Cuarteto singer","27 years, 31 days"
"45","Sean Patrick McCabe","1972-11-13","2000-08-28","Asphyxiation","Lead singer of Ink & Dagger","27 years, 289 days"
"46","Maria Serrano Serrano","1973-11-26","2001-11-24","Plane crash","Background singer of Passion Fruit","27 years, 363 days"
"47","Rico Yan","1975-03-14","2002-03-29","Acute Hemorrhagic Pancreatitis","Filipino actor","27 years, 15 days"
"48","Jonathan Brandis","1976-04-13","2003-11-12","Suicide by hanging","American actor","27 years, 213 days"
"49","Jeremy Ward","1976-05-05","2003-05-25","Drug overdose","The Mars Volta and De Facto sound manipulator","27 years, 20 days"
"50","Bryan Ottoson","1978-03-18","2005-04-19","Drug overdose","Guitarist of American Head Charge","27 years, 32 days"
"51","Valentín Elizalde","1979-02-01","2006-11-25","Murdered","Mexican banda singer","27 years, 297 days"
"52","Damien ""Damo"" Morris","1980-05-22","2007-12-19","Traffic collision","Member of Australian deathcore band the Red Shore","27 years, 211 days"
"53","Orish Grinstead","1980-06-02","2008-04-20","Kidney failure","Founding member of the R&B group 702","27 years, 323 days"
"54","Jade Goody","1981-06-05","2009-03-22","Cervical cancer","Reality-television personality","27 years, 290 days"
"55","Dash Snow","1981-07-27","2009-07-13","Drug overdose","Artist","27 years, 351 days"
"56","Amy Winehouse","1983-09-14","2011-07-23","Alcohol poisoning","Singer-songwriter","27 years, 312 days"
"57","Richard Turner","1984-07-30","2011-08-11","Cardiac arrest","Trumpet player, collaborator with Friendly Fires","27 years, 12 days"
"58","Anton Yelchin","1989-03-11","2016-06-19","Accidental blunt traumatic asphyxia","Actor, Chekov in the Star Trek reboot series","27 years, 100 days"
"59","Thomas Fekete","1988-07-01","2016-05-31","Cancer","Guitarist of Surfer Blood","27 years, 335 days"
"60","Kim Jong-hyun","1990-04-08","2017-12-18","Suicide by carbon monoxide poisoning","Vocalist and lyricist of Shinee","27 years, 254 days"
"61","Fredo Santana","1990-07-04","2018-01-19","Cardiovascular disease and idiopathic epilepsy","American rapper","27 years, 199 days"
"62","Benjamin Keough","1992-10-21","2020-07-12","Suicide by gunshot","Elvis Presley's grandson and son of Lisa Marie Presley and brother of Riley Keough","27 years, 265 days"
